"","block","dose","height"
"1","1","2500",1299.2
"2","2","250",1369.2
"3","3","0",1169.5
"4","4","2500",1219.1
"5","5","2500",1120
"6","6","5000",1031.5
"7","7","250",1076.4
"8","8","1000",1099.6
"9","1","5000",875.9
"10","2","1500",844.2
"11","3","1500",975.8
"12","4","0",971.7
"13","5","5000",827
"14","6","250",846.5
"15","7","0",917.9
"16","8","1500",947.4
"17","1","1000",960.7
"18","2","2500",968.7
"19","3","500",873.4
"20","4","5000",607.6
"21","5","1000",671.9
"22","6","1000",667.8
"23","7","1500",627.6
"24","8","250",787.1
"25","1","500",1004
"26","2","5000",975.5
"27","3","5000",797.8
"28","4","1000",1000
"29","5","500",972.2
"30","6","500",853.6
"31","7","2500",776.4
"32","8","0",898.3
"33","1","0",1173.2
"34","2","500",1322.4
"35","3","250",1069.7
"36","4","250",1343.3
"37","5","0",1083.7
"38","6","0",1087.1
"39","7","500",960.4
"40","8","500",1174.9
"41","1","250",1031.9
"42","2","0",1172.6
"43","3","2500",1093.3
"44","4","1500",999.4
"45","5","250",1146.9
"46","6","1500",990.2
"47","7","5000",852.4
"48","8","2500",1003.3
"49","1","1500",1421.1
"50","2","1000",1418.9
"51","3","1000",1169.6
"52","4","500",1181.3
"53","5","1500",993.8
"54","6","2500",1021.9
"55","7","1000",1006.2
"56","8","5000",947.6
